ground	jikken	kougakubu	bigorange	centerzone	firecenter	sangaku	yamade	motooka	motookauniv	tarou	fujimi	izumi	susenji	susenjieast	yamazaki	motookasch	motookapost	imade	genyou	workcenter	yokonisi	maiduru	kitahara	gakken
null	null	6:55	6:57	6:57	6:58	6:58	null	null	7:01	7:02	7:03	7:04	7:07	7:08	7:09	null	null	null	null	null	null	null	7:10	7:12
null	null	6:58	7:00	7:00	null	null	7:01	7:03	null	null	null	null	null	null	null	7:06	7:07	7:08	7:09	7:10	7:11	7:12	null	7:15
null	null	7:10	7:12	7:12	7:13	7:13	null	null	7:16	7:17	7:18	7:19	7:22	7:23	7:24	null	null	null	null	null	null	null	7:25	7:27
null	null	7:20	7:22	7:22	null	null	7:23	7:25	null	null	null	null	null	null	null	7:28	7:29	7:30	7:31	7:32	7:33	7:34	null	7:37
null	null	7:35	7:37	7:37	7:38	7:38	null	null	7:41	7:42	7:43	7:44	7:47	7:48	7:49	null	null	null	null	null	null	null	7:50	7:52
null	null	7:45	7:47	7:47	null	null	7:48	7:50	null	null	null	null	null	null	null	7:53	7:54	7:55	7:56	7:57	7:58	7:59	null	8:02
null	null	7:55	7:57	7:57	7:58	7:58	null	null	8:01	8:02	8:03	8:04	8:07	8:08	8:09	null	null	null	null	null	null	null	8:10	8:12
null	null	8:12	8:14	8:14	8:15	8:15	null	null	null	null	null	null	null	null	null	8:18	8:19	8:20	8:21	8:22	8:23	8:24	null	8:27
null	null	8:20	8:22	8:22	8:23	8:23	null	null	8:26	8:27	8:28	8:29	8:32	8:33	8:34	null	null	null	null	null	null	null	8:35	8:37
null	null	8:25	8:27	8:27	8:28	8:28	null	null	8:31	8:32	8:33	8:34	8:37	8:38	8:39	null	null	null	null	null	null	null	8:40	8:42
null	null	8:33	8:35	8:35	null	null	8:36	8:38	null	null	null	null	null	null	null	8:41	8:42	8:43	8:44	8:45	8:46	8:47	8:49	8:52
null	null	8:38	8:40	8:40	8:41	8:41	null	null	8:44	8:45	8:46	8:47	8:50	8:51	8:52	null	null	null	null	null	null	null	8:53	8:55
null	null	8:43	8:45	8:45	8:46	8:46	null	null	null	null	null	null	null	null	null	8:49	8:50	8:51	8:52	8:53	8:54	8:55	null	8:58
null	null	8:48	8:50	8:50	8:51	8:51	null	null	8:54	8:55	8:56	8:57	9:00	9:01	9:02	null	null	null	null	null	null	null	9:03	9:05
null	null	8:53	8:55	8:55	8:56	8:56	null	null	8:59	9:00	9:01	9:02	9:05	9:06	9:07	null	null	null	null	null	null	null	9:08	9:10
null	null	8:58	9:00	9:00	9:01	9:01	null	null	null	null	null	null	null	null	null	9:04	9:05	9:06	9:07	9:08	9:09	9:10	null	9:13
null	null	9:03	9:05	9:05	null	null	9:06	9:08	null	null	null	null	null	null	null	9:11	9:12	9:13	9:14	9:15	9:16	9:17	null	9:20
null	null	9:13	9:15	9:15	9:16	9:16	null	null	9:19	9:20	9:21	9:22	9:25	9:26	9:27	null	null	null	null	null	null	null	9:28	9:30
null	null	9:28	9:30	9:30	9:31	9:31	null	null	null	null	null	null	null	null	null	9:34	9:35	9:36	9:37	9:38	9:39	9:40	null	9:43
null	null	9:35	9:37	9:37	9:38	9:38	null	null	9:41	9:42	9:43	9:44	9:47	9:48	9:49	null	null	null	null	null	null	null	9:50	9:52
null	null	9:45	9:47	9:47	9:48	9:48	null	null	null	null	null	null	null	null	null	9:51	9:52	9:53	9:54	9:55	9:56	9:57	null	10:00
null	null	9:53	9:55	9:55	9:56	9:56	null	null	9:59	10:00	10:01	10:02	10:05	10:06	10:07	null	null	null	null	null	null	null	10:08	10:10
null	null	10:05	10:07	10:07	null	null	10:08	10:10	null	null	null	null	null	null	null	10:13	10:14	10:15	10:16	10:17	10:18	10:19	null	10:22
null	null	10:15	10:17	10:17	10:18	10:18	null	null	10:21	10:22	10:23	10:24	10:27	10:28	10:29	null	null	null	null	null	null	null	10:30	10:32
null	null	10:25	10:27	10:27	10:28	10:28	null	null	null	null	null	null	null	null	null	10:31	10:32	10:33	10:34	10:35	10:36	10:37	null	10:40
null	null	10:35	10:37	10:37	10:38	10:38	null	null	10:41	10:42	10:43	10:44	10:47	10:48	10:49	null	null	null	null	null	null	null	10:50	10:52
null	null	10:43	10:45	10:45	10:46	10:46	null	null	null	null	null	null	null	null	null	10:49	10:50	10:51	10:52	10:53	10:54	10:55	null	10:58
null	null	10:55	10:57	10:57	10:58	10:58	null	null	11:01	11:02	11:03	11:04	11:07	11:08	11:09	null	null	null	null	null	null	null	11:10	11:12
null	null	11:00	11:02	11:02	11:03	11:03	null	null	null	null	null	null	null	null	null	11:06	11:07	11:08	11:09	11:10	11:11	11:12	null	11:15
null	null	11:10	11:12	11:12	11:13	11:13	null	null	11:16	11:17	11:18	11:19	11:22	11:23	11:24	null	null	null	null	null	null	null	11:25	11:27
null	null	11:25	11:27	11:27	11:28	11:28	null	null	null	null	null	null	null	null	null	11:31	11:32	11:33	11:34	11:35	11:36	11:37	null	11:40
null	null	11:40	11:42	11:42	null	null	11:43	11:45	null	null	null	null	null	null	null	11:48	11:49	11:50	11:51	11:52	11:53	11:54	null	11:57
null	null	11:50	11:52	11:52	11:53	11:53	null	null	11:56	11:57	11:58	11:59	12:02	12:03	12:04	null	null	null	null	null	null	null	12:05	12:07
null	null	11:55	11:57	11:57	11:58	11:58	null	null	null	null	null	null	null	null	null	12:01	12:02	12:03	12:04	12:05	12:06	12:07	null	12:10
12:00	12:01	12:03	12:05	12:05	12:06	12:06	null	null	12:09	12:10	12:11	12:12	12:15	12:16	12:17	null	null	null	null	null	null	null	12:18	12:20
12:07	12:08	12:10	12:12	12:12	12:13	12:13	null	null	12:16	12:17	12:18	12:19	12:22	12:23	12:24	null	null	null	null	null	null	null	12:25	12:27
12:12	12:13	12:15	12:17	12:17	12:18	12:18	null	null	null	null	null	null	null	null	null	12:21	12:22	12:23	12:24	12:25	12:26	12:27	null	12:30
12:17	12:18	12:20	12:22	12:22	12:23	12:23	null	null	12:26	12:27	12:28	12:29	12:32	12:33	12:34	null	null	null	null	null	null	null	12:35	12:37
12:22	12:23	12:25	12:27	12:27	12:28	12:28	null	null	null	null	null	null	null	null	null	12:31	12:32	12:33	12:34	12:35	12:36	12:37	null	12:40
12:37	12:38	12:40	12:42	12:42	12:43	12:43	null	null	12:46	12:47	12:48	12:49	12:52	12:53	12:54	null	null	null	null	null	null	null	12:55	12:57
12:52	12:53	12:55	12:57	12:57	12:58	12:58	null	null	null	null	null	null	null	null	null	13:01	13:02	13:03	13:04	13:05	13:06	13:07	null	13:10
13:02	13:03	13:05	13:07	13:07	13:08	13:08	null	null	13:11	13:12	13:13	13:14	13:17	13:18	13:19	null	null	null	null	null	null	null	13:20	13:22
13:07	13:08	13:10	13:12	13:12	13:13	13:13	null	null	null	null	null	null	null	null	null	13:16	13:17	13:18	13:19	13:20	13:21	13:22	null	13:25
13:22	13:23	13:25	13:27	13:27	13:28	13:28	null	null	13:31	13:32	13:33	13:34	13:37	13:38	13:39	null	null	null	null	null	null	null	13:40	13:42
13:32	13:33	13:35	13:37	13:37	null	null	13:38	13:40	null	null	null	null	null	null	null	13:43	13:44	13:45	13:46	13:47	13:48	13:49	13:51	13:54
13:42	13:43	13:45	13:47	13:47	13:48	13:48	null	null	13:51	13:52	13:53	13:54	13:57	13:58	13:59	null	null	null	null	null	null	null	14:00	14:02
13:52	13:53	13:55	13:57	13:57	13:58	13:58	null	null	null	null	null	null	null	null	null	14:01	14:02	14:03	14:04	14:05	14:06	14:07	null	14:10
14:07	14:08	14:10	14:12	14:12	14:13	14:13	null	null	14:16	14:17	14:18	14:19	14:22	14:23	14:24	null	null	null	null	null	null	null	14:25	14:27
14:17	14:18	14:20	14:22	14:22	14:23	14:23	null	null	null	null	null	null	null	null	null	14:26	14:27	14:28	14:29	14:30	14:31	14:32	null	14:35
14:22	14:23	14:25	14:27	14:27	14:28	14:28	null	null	14:31	14:32	14:33	14:34	14:37	14:38	14:39	null	null	null	null	null	null	null	14:40	14:42
14:32	14:33	14:35	14:37	14:37	14:38	14:38	null	null	null	null	null	null	null	null	null	14:41	14:42	14:43	14:44	14:45	14:46	14:47	null	14:50
14:37	14:38	14:40	14:42	14:42	14:43	14:43	null	null	14:46	14:47	14:48	14:49	14:52	14:53	14:54	null	null	null	null	null	null	null	14:55	14:57
14:40	14:41	14:43	14:45	14:45	14:46	14:46	null	null	14:49	14:50	14:51	14:52	14:55	14:56	14:57	null	null	null	null	null	null	null	14:58	15:00
14:43	14:44	14:46	14:48	14:48	14:49	14:49	null	null	null	null	null	null	null	null	null	14:52	14:53	14:54	14:55	14:56	14:57	14:58	null	15:01
14:47	14:48	14:50	14:52	14:52	14:53	14:53	null	null	14:56	14:57	14:58	14:59	15:02	15:03	15:04	null	null	null	null	null	null	null	15:05	15:07
14:50	14:51	14:53	14:55	14:55	14:56	14:56	null	null	null	null	null	null	null	null	null	14:59	15:00	15:01	15:02	15:03	15:04	15:05	null	15:08
14:53	14:54	14:56	14:58	14:58	14:59	14:59	null	null	15:02	15:03	15:04	15:05	15:08	15:09	15:10	null	null	null	null	null	null	null	15:11	15:13
14:57	14:58	15:00	15:02	15:02	15:03	15:03	null	null	null	null	null	null	null	null	null	15:06	15:07	15:08	15:09	15:10	15:11	15:12	null	15:15
15:00	15:01	15:03	15:05	15:05	15:06	15:06	null	null	15:09	15:10	15:11	15:12	15:15	15:16	15:17	null	null	null	null	null	null	null	15:18	15:20
15:07	15:08	15:10	15:12	15:12	15:13	15:13	null	null	15:16	15:17	15:18	15:19	15:22	15:23	15:24	null	null	null	null	null	null	null	15:25	15:27
15:10	15:11	15:13	15:15	15:15	15:16	15:16	null	null	null	null	null	null	null	null	null	15:19	15:20	15:21	15:22	15:23	15:24	15:25	null	15:28
15:17	15:18	15:20	15:22	15:22	15:23	15:23	null	null	15:26	15:27	15:28	15:29	15:32	15:33	15:34	null	null	null	null	null	null	null	15:35	15:37
15:22	15:23	15:25	15:27	15:27	15:28	15:28	null	null	null	null	null	null	null	null	null	15:31	15:32	15:33	15:34	15:35	15:36	15:37	null	15:40
15:32	15:33	15:35	15:37	15:37	15:38	15:38	null	null	15:41	15:42	15:43	15:44	15:47	15:48	15:49	null	null	null	null	null	null	null	15:50	15:52
15:37	15:38	15:40	15:42	15:42	15:43	15:43	null	null	15:46	15:47	15:48	15:49	15:52	15:53	15:54	null	null	null	null	null	null	null	15:55	15:57
15:42	15:43	15:45	15:47	15:47	15:48	15:48	null	null	null	null	null	null	null	null	null	15:51	15:52	15:53	15:54	15:55	15:56	15:57	null	16:00
15:52	15:53	15:55	15:57	15:57	15:58	15:58	null	null	16:01	16:02	16:03	16:04	16:07	16:08	16:09	null	null	null	null	null	null	null	16:10	16:12
