kougakubu	bigorange	firecenter	sangaku	yamade	motooka	motookauniv	tarou	fujimi	izumi	susenji	susenjieast	yamazaki	motookasch	motookapost	imade	genyou	workcenter	yokonisi	maiduru	kitahara	gakken
6:58	7:00	7:01	7:01	null	null	7:04	7:05	7:06	7:07	7:10	7:11	7:12	null	null	null	null	null	null	null	7:13	7:15
7:12	7:14	7:15	7:15	null	null	7:18	7:19	7:20	7:21	7:24	7:25	7:26	null	null	null	null	null	null	null	7:27	7:29
7:30	7:32	7:33	7:33	null	null	null	null	null	null	null	null	null	7:36	7:37	7:38	7:39	7:40	7:41	7:42	null	7:45
7:40	7:42	7:43	7:43	null	null	7:46	7:47	7:48	7:49	7:52	7:53	7:54	null	null	null	null	null	null	null	7:55	7:57
7:55	7:57	null	null	7:58	8:00	null	null	null	null	null	null	null	8:03	8:04	8:05	8:06	8:07	8:08	8:09	null	8:12
8:10	8:12	8:13	8:13	null	null	8:16	8:17	8:18	8:19	8:22	8:23	8:24	null	null	null	null	null	null	null	8:25	8:27
8:25	8:27	8:28	8:28	null	null	null	null	null	null	null	null	null	8:31	8:32	8:33	8:34	8:35	8:36	8:37	null	8:40
8:35	8:37	8:38	8:38	null	null	8:41	8:42	8:43	8:44	8:47	8:48	8:49	null	null	null	null	null	null	null	8:50	8:52
8:45	8:47	8:48	8:48	null	null	null	null	null	null	null	null	null	8:51	8:52	8:53	8:54	8:55	8:56	8:57	null	9:00
8:50	8:52	8:53	8:53	null	null	8:56	8:57	8:58	8:59	9:02	9:03	9:04	null	null	null	null	null	null	null	9:05	9:07
8:58	9:00	null	null	9:01	9:03	null	null	null	null	null	null	null	9:06	9:07	9:08	9:09	9:10	9:11	9:12	null	9:15
9:10	9:12	9:13	9:13	null	null	9:16	9:17	9:18	9:19	9:22	9:23	9:24	null	null	null	null	null	null	null	9:25	9:27
9:25	9:27	9:28	9:28	null	null	9:31	9:32	9:33	9:34	9:37	9:38	9:39	null	null	null	null	null	null	null	9:40	9:42
9:40	9:42	null	null	9:43	9:45	null	null	null	null	null	null	null	9:48	9:49	9:50	9:51	9:52	9:53	9:54	null	9:57
10:05	10:07	10:08	10:08	null	null	10:11	10:12	10:13	10:14	10:17	10:18	10:19	null	null	null	null	null	null	null	10:20	10:22
10:40	10:42	10:43	10:43	null	null	null	null	null	null	null	null	null	10:46	10:47	10:48	10:49	10:50	10:51	10:52	null	10:55
11:10	11:12	11:13	11:13	null	null	11:16	11:17	11:18	11:19	11:22	11:23	11:24	null	null	null	null	null	null	null	11:25	11:27
11:25	11:27	11:28	11:28	null	null	null	null	null	null	null	null	null	11:31	11:32	11:33	11:34	11:35	11:36	11:37	null	11:40
11:40	11:42	11:43	11:43	null	null	11:46	11:47	11:48	11:49	11:52	11:53	11:54	null	null	null	null	null	null	null	11:55	11:57
11:55	11:57	11:58	11:58	null	null	12:01	12:02	12:03	12:04	12:07	12:08	12:09	null	null	null	null	null	null	null	12:10	12:12
12:10	12:12	12:13	12:13	null	null	null	null	null	null	null	null	null	12:16	12:17	12:18	12:19	12:20	12:21	12:22	null	12:25
12:25	12:27	12:28	12:28	null	null	null	null	null	null	null	null	null	12:31	12:32	12:33	12:34	12:35	12:36	12:37	null	12:40
12:35	12:37	12:38	12:38	null	null	12:41	12:42	12:43	12:44	12:47	12:48	12:49	null	null	null	null	null	null	null	12:50	12:52
12:40	12:42	12:43	12:43	null	null	null	null	null	null	null	null	null	12:46	12:47	12:48	12:49	12:50	12:51	12:52	null	12:55
12:55	12:57	12:58	12:58	null	null	13:01	13:02	13:03	13:04	13:07	13:08	13:09	null	null	null	null	null	null	null	13:10	13:12
13:15	13:17	13:18	13:18	null	null	null	null	null	null	null	null	null	13:21	13:22	13:23	13:24	13:25	13:26	13:27	null	13:30
13:25	13:27	null	null	13:28	13:30	null	null	null	null	null	null	null	13:33	13:34	13:35	13:36	13:37	13:38	13:39	null	13:42
13:40	13:42	13:43	13:43	null	null	13:46	13:47	13:48	13:49	13:52	13:53	13:54	null	null	null	null	null	null	null	13:55	13:57
13:55	13:57	13:58	13:58	null	null	null	null	null	null	null	null	null	14:01	14:02	14:03	14:04	14:05	14:06	14:07	null	14:10
14:10	14:12	14:13	14:13	null	null	14:16	14:17	14:18	14:19	14:22	14:23	14:24	null	null	null	null	null	null	null	14:25	14:27
14:25	14:27	14:28	14:28	null	null	null	null	null	null	null	null	null	14:31	14:32	14:33	14:34	14:35	14:36	14:37	null	14:40
14:35	14:37	14:38	14:38	null	null	14:41	14:42	14:43	14:44	14:47	14:48	14:49	null	null	null	null	null	null	null	14:50	14:52
14:45	14:47	14:48	14:48	null	null	null	null	null	null	null	null	null	14:51	14:52	14:53	14:54	14:55	14:56	14:57	null	15:00
14:55	14:57	14:58	14:58	null	null	15:01	15:02	15:03	15:04	15:07	15:08	15:09	null	null	null	null	null	null	null	15:10	15:12
15:10	15:12	15:13	15:13	null	null	null	null	null	null	null	null	null	15:16	15:17	15:18	15:19	15:20	15:21	15:22	null	15:25
15:25	15:27	null	null	15:28	15:30	null	null	null	null	null	null	null	15:33	15:34	15:35	15:36	15:37	15:38	15:39	null	15:42
15:40	15:42	15:43	15:43	null	null	15:46	15:47	15:48	15:49	15:52	15:53	15:54	null	null	null	null	null	null	null	15:55	15:57
15:55	15:57	15:58	15:58	null	null	16:01	16:02	16:03	16:04	16:07	16:08	16:09	null	null	null	null	null	null	null	16:10	16:12
16:10	16:12	16:13	16:13	null	null	null	null	null	null	null	null	null	16:16	16:17	16:18	16:19	16:20	16:21	16:22	null	16:25
16:25	16:27	16:28	16:28	null	null	null	null	null	null	null	null	null	16:31	16:32	16:33	16:34	16:35	16:36	16:37	null	16:40
16:40	16:42	16:43	16:43	null	null	16:46	16:47	16:48	16:49	16:52	16:53	16:54	null	null	null	null	null	null	null	16:55	16:57
16:55	16:57	16:58	16:58	null	null	17:01	17:02	17:03	17:04	17:07	17:08	17:09	null	null	null	null	null	null	null	17:10	17:12
17:10	17:12	17:13	17:13	null	null	null	null	null	null	null	null	null	17:16	17:17	17:18	17:19	17:20	17:21	17:22	null	17:25
17:25	17:27	17:28	17:28	null	null	null	null	null	null	null	null	null	17:31	17:32	17:33	17:34	17:35	17:36	17:37	null	17:40
17:40	17:42	17:43	17:43	null	null	17:46	17:47	17:48	17:49	17:52	17:53	17:54	null	null	null	null	null	null	null	17:55	17:57
18:00	18:02	18:03	18:03	null	null	null	null	null	null	null	null	null	18:06	18:07	18:08	18:09	18:10	18:11	18:12	null	18:15
18:10	18:12	18:13	18:13	null	null	18:16	18:17	18:18	18:19	18:22	18:23	18:24	null	null	null	null	null	null	null	18:25	18:27
18:25	18:27	18:28	18:28	null	null	18:31	18:32	18:33	18:34	18:37	18:38	18:39	null	null	null	null	null	null	null	18:40	18:42
18:45	18:47	18:48	18:48	null	null	null	null	null	null	null	null	null	18:51	18:52	18:53	18:54	18:55	18:56	18:57	null	19:00
19:00	19:02	19:03	19:03	null	null	19:06	19:07	19:08	19:09	19:12	19:13	19:14	null	null	null	null	null	null	null	19:15	19:17
19:25	19:27	19:28	19:28	null	null	null	null	null	null	null	null	null	19:31	19:32	19:33	19:34	19:35	19:36	19:37	null	19:40
19:40	19:42	19:43	19:43	null	null	19:46	19:47	19:48	19:49	19:52	19:53	19:54	null	null	null	null	null	null	null	19:55	19:57
19:55	19:57	19:58	19:58	null	null	20:01	20:02	20:03	20:04	20:07	20:08	20:09	null	null	null	null	null	null	null	20:10	20:12
20:30	20:32	20:33	20:33	null	null	null	null	null	null	null	null	null	20:36	20:37	20:38	20:39	20:40	20:41	20:42	null	20:45
20:40	20:42	20:43	20:43	null	null	20:46	20:47	20:48	20:49	20:52	20:53	20:54	null	null	null	null	null	null	null	20:55	20:57
20:55	20:57	20:58	20:58	null	null	null	null	null	null	null	null	null	21:01	21:02	21:03	21:04	21:05	21:06	21:07	null	21:10
21:30	21:32	21:33	21:33	null	null	21:36	21:37	21:38	21:39	21:42	21:43	21:44	null	null	null	null	null	null	null	21:45	21:47
21:55	21:57	21:58	21:58	null	null	22:01	22:02	22:03	22:04	22:07	22:08	22:09	null	null	null	null	null	null	null	22:10	22:12
